Names,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total tests,Population
USA,"111,568,359",,"1,216,502                                ",,"109,335,248",,"1,016,609","1,525","1,186,765,074","334,805,269 "
India,"45,030,467",,"533,499                                ",,N/A,N/A,N/A,N/A,"935,879,495","1,406,631,776 "
France,"40,138,560",,"167,642                                ",,"39,970,918",,0,,"271,490,188","65,584,518 "
Germany,"38,822,926",,"182,669                                ",,"38,240,600",,"399,657",N/A,"122,332,384","83,883,596 "
Brazil,"38,452,504",,"709,963                                ",,"36,249,161",,"1,493,380",N/A,"63,776,166","215,353,593 "
S. Korea,"34,571,873",,"35,934                                ",,"34,535,939",,0,,"15,804,065","51,329,899 "
Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,N/A,"100,414,883","125,584,838 "
Italy,"26,719,511",,"196,348                                ",,"26,351,971",,"171,192",45,"280,517,410","60,262,770 "
UK,"24,902,971",,"232,112                                ",,"24,666,932",,"3,927",N/A,"522,526,476","68,497,907 "
Russia,"24,009,604",,"402,399                                ",,"23,424,670",,"182,535",N/A,"273,400,000","145,805,947 "
Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,N/A,"162,743,369","85,561,976 "
Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",231,"471,036,328","46,719,142 "
Australia,"11,826,396","+1,142","24,289                                ",,"11,789,903",,"12,204",12,"81,916,639","26,068,792 "
Vietnam,"11,625,195",,"43,206                                ",,"10,640,971",,"941,018",,"85,826,548","98,953,541 "
Taiwan,"10,241,523",,"19,005                                ",,"10,222,518",,0,,"30,742,304","23,888,595 "
Argentina,"10,094,643",,"130,733                                ",,"9,963,910",,0,,"35,716,069","46,010,234 "
Netherlands,"8,634,822",,"22,992                                ",,"8,611,480",+498,350,N/A,"25,984,435","17,211,447 "
Mexico,"7,702,809",,"334,958                                ",,"6,899,865",,"467,986",N/A,"20,013,810","131,562,772 "
